order_id,latitude,longitude,order_weight
ORD_0001,28.576262,77.396834,2.54
ORD_0002,28.749114,77.319053,32.18
ORD_0003,28.683498,77.3848,16.4
ORD_0004,28.643498,77.366931,25.92
ORD_0005,28.510706,77.24816,45.47
ORD_0006,28.510698,77.37775,13.22
ORD_0007,28.481325,77.044397,21.11
ORD_0008,28.723753,77.087393,38.02
ORD_0009,28.644235,77.027091,12.21
ORD_0010,28.676322,77.139132,4.77
ORD_0011,28.470075,77.164471,15.2
ORD_0012,28.754873,77.11754,8.9
ORD_0013,28.713633,77.340495,46.56
ORD_0014,28.527602,77.151701,40.6
ORD_0015,28.518447,77.121374,32.04
ORD_0016,28.518921,77.226078,43.7
ORD_0017,28.555173,77.06537,40.38
ORD_0018,28.621327,77.329879,10.14
ORD_0019,28.593484,77.03882,44.74
ORD_0020,28.551269,77.403755,27.43
ORD_0021,28.647456,77.317898,40.56
ORD_0022,28.505748,77.088486,44.91
ORD_0023,28.551543,77.011209,16.58
ORD_0024,28.573809,77.335185,6.39
ORD_0025,28.600721,77.291743,12.17
ORD_0026,28.699453,77.300603,21.93
ORD_0027,28.523802,77.317508,41.08
ORD_0028,28.61817,77.038618,43.18
ORD_0029,28.641624,77.152386,1.34
ORD_0030,28.477835,77.055348,26.03
ORD_0031,28.646163,77.354241,21.45
ORD_0032,28.515057,77.258319,11.88
ORD_0033,28.483415,77.141359,6.87
ORD_0034,28.748566,77.034423,17.54
ORD_0035,28.75359,77.133393,47.2
ORD_0036,28.706419,77.139073,16.84
ORD_0037,28.555284,77.300842,26.42
ORD_0038,28.493202,77.264023,35.45
ORD_0039,28.66917,77.363885,18.82
ORD_0040,28.595946,77.197886,48.62
ORD_0041,28.500511,77.056838,48.16
ORD_0042,28.612453,77.294298,13.34
ORD_0043,28.474217,77.313314,25.37
ORD_0044,28.736696,77.233511,15.74
ORD_0045,28.541534,77.317387,14.96
ORD_0046,28.662657,77.206518,2.81
ORD_0047,28.557413,77.218093,30.87
ORD_0048,28.61992,77.180016,25.63
ORD_0049,28.627913,77.019168,3.52
ORD_0050,28.519356,77.052157,14.65
